Barcelona,Barcelona
Real Madrid,Real Madrid
Atlético,Atl. Madrid
Valencia,Valencia
Sevilla,Sevilla
Bilbao,Ath Bilbao
Villarreal,Villarreal
Eibar,Eibar
Celta,Celta Vigo
Getafe,Getafe
Espanyol,Espanyol
Real Sociedad,Real Sociedad
Girona,Girona
Betis,Betis
Alavés,Alaves
Leganes,Leganes
Levante,Levante
Málaga,Malaga
Depor,Dep. La Coruna
Las Palmas,Las Palmas
Huesca,Huesca
Rayo Vallecano,Rayo Vallecano
Cadiz,Cadiz CF
Gijón,Gijon
Granada,Granada CF
Oviedo,R. Oviedo
Osasuna,Osasuna
Tenerife,Tenerife
Valladolid,Valladolid
Zaragoza,Zaragoza
Numancia,Numancia
Lugo,Lugo
Gimnastic,Gimnastic
Reus Deportiu,Reus Deportiu
Almería,Almeria
Alcorcon,Alcorcon
Barcelona B,Barcelona B
Albacete,Albacete
Leonesa,Leonesa
Córdoba,Cordoba
Sevilla B,Sevilla FC B
Lorca FC,Lorca FC
Juventus,Juventus
Napoli,Napoli
Roma,AS Roma
Lazio,Lazio
Atalanta,Atalanta
Inter,Inter
Milan,AC Milan
Fiorentina,Fiorentina
Torino,Torino
Sampdoria,Sampdoria
Udinese,Udinese
Genoa,Genoa
Bologna,Bologna
Sassuolo,Sassuolo
Cagliari,Cagliari
Chievo,Chievo
Verona,Verona
Crotone,Crotone
Spal,Spal
Benevento,Benevento
Empoli,Empoli
Frosinone,Frosinone
Palermo,Palermo
Cittadella,Cittadella
Spezia,Spezia
Perugia,Perugia
Bari,Bari
Carpi,Carpi
Venezia,Venezia
Parma,Parma
Cremonese,Cremonese
Pescara,Pescara
Foggia,Foggia
Cesena,Cesena
Brescia,Brescia
Novara,Novara
Avellino,Avellino
Salernitana,Salernitana
Entella,Entella
Pro Vercelli,Pro Vercelli
Ascoli,Ascoli
Ternana,Ternana
Midtjylland,Midtjylland
FC København,FC Copenhagen
Brøndby,Brondby
Nordsjælland,Nordsjaelland
SønderjyskE,Sonderjyske
Odense,Odense
Aalborg,Aalborg
Horsens,Horsens
Lyngby,Lyngby
Aarhus,Aarhus
Randers,Randers FC
Silkeborg,Silkeborg
Hobro,Hobro
Helsingor,Helsingor
Man City,Manchester City
Tottenham,Tottenham
Liverpool,Liverpool
Man United,Manchester United
Chelsea,Chelsea
Arsenal,Arsenal
Leicester,Leicester
Everton,Everton
Burnley,Burnley
Bournemouth,Bournemouth
Southampton,Southampton
West Ham,West Ham
Crystal Palace,Crystal Palace
Swansea,Swansea
Watford,Watford
Newcastle,Newcastle
Stoke,Stoke
Brighton,Brighton
West Brom,West Brom
Huddersfield,Huddersfield
Fulham,Fulham
Wolves,Wolves
Cardiff,Cardiff
Aston Villa,Aston Villa
Derby,Derby
Middlesbrough,Middlesbrough
Brentford,Brentford
Norwich,Norwich
Preston,Preston
Bristol City,Bristol City
Leeds,Leeds
Ipswich,Ipswich
Hull,Hull City
Millwall,Millwall
Sheffield United,Sheffield Utd
Sheffield Weds,Sheffield Wed
Reading,Reading
Forest,Nottingham
Sunderland,Sunderland
QPR,QPR
Barnsley,Barnsley
Bolton,Bolton
Birmingham,Birmingham
Burton,Burton
Paris SG,Paris SG
Monaco,Monaco
Lyon,Lyon
Marseille,Marseille
Nice,Nice
Bordeaux,Bordeaux
Rennes,Rennes
Montpellier,Montpellier
Nantes,Nantes
Saint-Étienne,St Etienne
Guingamp,Guingamp
Lille,Lille
Dijon,Dijon
Angers,Angers
Toulouse,Toulouse
Caen,Caen
Strasbourg,Strasbourg
Amiens,Amiens
Metz,Metz
Troyes,Troyes
Reims,Reims
Nîmes,Nimes
Lorient,Lorient
Brest,Brest
Le Havre,Le Havre
Clermont,Clermont
Ajaccio,AC Ajaccio
Lens,Lens
Auxerre,Auxerre
Châteauroux,Chateauroux
Paris FC,Paris FC
Sochaux,Sochaux
Nancy,Nancy
Orleans,Orleans
Valenciennes,Valenciennes
Gazélec,GFC Ajaccio
Niort,Niort
US Quevilly,Quevilly Rouen
Bourg-Peronnas,Bourg Peronnas
Tours,Tours
Лудогорец,Ludogorets
ЦСКА София,CSKA-Sofia
Левски,Levski
Берое Стара Загора,Beroe
Ботев Пловдив,Botev Plovdiv
Vereya,Vereya
Локомотив Пловдив,Lok. Plovdiv
Славия София,Slavia Sofia
Черно море,Cherno More
Септември София,Septemvri Sofia
Етър,Etar
Дунав,Dunav Ruse
Благоевград,Pirin Blagoevgrad
Vitosha Bistritsa,Bistritsa
Beşiktaş,Besiktas
Başakşehir,Basaksehir
Fenerbahçe,Fenerbahce
Galatasaray,Galatasaray
Trabzonspor,Trabzonspor
Kayseri,Kayserispor
Akhisar,Akhisar Genclik Spor
Gençlerbirligi,Genclerbirligi
Antalyaspor,Antalyaspor
Kasımpaşa,Kasimpasa
Göztepe,Goztepe
Konyaspor,Konyaspor
Sivasspor,Sivasspor
Malatyaspor,Yeni Malatyaspor
Bursaspor,Bursaspor
Ankaraspor,Osmanlispor
Alanyaspor,Alanyaspor
Karabükspor,Kardemir Karabuk
Ολυμπιακός,Olympiakos Piraeus
ΠΑΟΚ,PAOK
AEK,AEK Athens FC
Παναθηναϊκός,Panathinaikos
Ατρόμητος,Atromitos
Πανιώνιος,Panionios
Ξάνθη,Xanthi FC
Γιάννινα,Giannina
Αστέρας,Asteras Tripolis
Παναιτωλικός,Panetolikos
Λεβαδειακός,Levadiakos
Λάρισα,AEL Larissa
Κέρκυρα,Kerkyra
Lamia,Lamia
Πλατανιάς Χανίων,Platanias FC
Απόλλων Σμύρνης,Smyrnis
Legia,Legia
Lech,Lech Poznan
Jagiellonia,Jagiellonia
Korona,Korona Kielce
Wisła,Wisla
Zagłębie,Zaglebie
Lechia,Lechia Gdansk
Górnik,Gornik Z.
Plock,Plock
Piast Gliwice,Piast Gliwice
Cracovia,Cracovia
Arka,Arka Gdynia
Pogoń,Pogon Szczecin
Śląsk,Slask Wroclaw
Nieciecza,Termalica B-B.
Sandecja Nowy Sacz,Sandecja Nowy S.
Bayern,Bayern Munich
Dortmund,Dortmund
Schalke,Schalke
Leverkusen,Bayer Leverkusen
RB Leipzig,RB Leipzig
Gladbach,B. Monchengladbach
Hoffenheim,Hoffenheim
Frankfurt,Eintracht Frankfurt
Werder,Werder Bremen
Augsburg,Augsburg
Hertha,Hertha Berlin
Wolfsburg,Wolfsburg
Freiburg,Freiburg
Hannover,Hannover
Mainz,Mainz
Stuttgart,Stuttgart
Köln,FC Koln
Hamburg,Hamburger SV
Ingolstadt,Ingolstadt
Nürnberg,Nurnberg
Union Berlin,Union Berlin
Braunschweig,Braunschweig
Düsseldorf,Dusseldorf
St. Pauli,St. Pauli
Sandhausen,Sandhausen
Bielefeld,Arminia Bielefeld
Heidenheim,Heidenheim
Dresden,SG Dynamo Dresden
Duisburg,Duisburg
Regensburg,Regensburg
Holstein,Holstein Kiel
Darmstadt,Darmstadt
Fürth,Greuther Furth
Bochum,Bochum
Lautern,Kaiserslautern
Aue,Aue
Porto,FC Porto
Benfica,Benfica
Sporting,Sporting
Braga,Braga
Rio Ave,Rio Ave
Guimarães,Guimaraes
Boavista,Boavista
Chaves,Chaves
Marítimo,Maritimo
Portimonense,Portimonense
Belenenses,Belenenses
Estoril,Estoril
Tondela,Tondela
Paços Ferreira,Ferreira
Setúbal,Setubal
Moreirense,Moreirense
Aves,Aves
Feirense,Feirense
